Region;Tissue;Lectin;File;Threshold;H_Score;Total_Pos_Pct;Weak_Pct;Mod_Pct;Strong_Pct;Mean_OD
ALSANCAK;GONAD;SNA;Image_34945.jpg;0,22;1,58;1,27;1,1;0,05;0,13;0,3659
ALSANCAK;GONAD;SNA;Image_34945.jpg;0,28;0,61;0,31;0,13;0,05;0,13;0,768
ALSANCAK;GONAD;SNA;Image_34945.jpg;0,3;0,55;0,24;0,07;0,05;0,13;0,8944
ALSANCAK;GONAD;SNA;Image_34944.jpg;0,22;3,1;2,46;2,05;0,17;0,23;0,3378
ALSANCAK;GONAD;SNA;Image_34944.jpg;0,28;1,36;0,72;0,31;0,17;0,23;0,5738
ALSANCAK;GONAD;SNA;Image_34944.jpg;0,3;1,21;0,57;0,17;0,17;0,23;0,6449
ALSANCAK;GONAD;SNA;Image_34950.jpg;0,22;9,77;9,25;8,87;0,25;0,14;0,2699
ALSANCAK;GONAD;SNA;Image_34950.jpg;0,28;2,19;1,67;1,29;0,25;0,14;0,4
ALSANCAK;GONAD;SNA;Image_34950.jpg;0,3;1,54;1,02;0,64;0,25;0,14;0,4706
ALSANCAK;GONAD;SNA;Image_34946.jpg;0,22;5,21;4,89;4,69;0,06;0,13;0,2779
ALSANCAK;GONAD;SNA;Image_34946.jpg;0,28;0,95;0,62;0,43;0,06;0,13;0,5344
ALSANCAK;GONAD;SNA;Image_34946.jpg;0,3;0,71;0,38;0,19;0,06;0,13;0,6897
ALSANCAK;GONAD;SNA;Image_34952.jpg;0,22;5,16;4,89;4,72;0,07;0,1;0,2732
ALSANCAK;GONAD;SNA;Image_34952.jpg;0,28;0,93;0,66;0,49;0,07;0,1;0,4892
ALSANCAK;GONAD;SNA;Image_34952.jpg;0,3;0,68;0,41;0,24;0,07;0,1;0,6129
ALSANCAK;GONAD;SNA;Image_34953.jpg;0,22;6,46;6,23;6,1;0,03;0,1;0,2616
ALSANCAK;GONAD;SNA;Image_34953.jpg;0,28;0,75;0,52;0,39;0,03;0,1;0,5091
ALSANCAK;GONAD;SNA;Image_34953.jpg;0,3;0,5;0,27;0,14;0,03;0,1;0,7098
ALSANCAK;GONAD;SNA;Image_34947.jpg;0,22;11,87;11,23;10,71;0,4;0,12;0,2665
ALSANCAK;GONAD;SNA;Image_34947.jpg;0,28;2,54;1,9;1,38;0,4;0,12;0,3946
ALSANCAK;GONAD;SNA;Image_34947.jpg;0,3;1,86;1,22;0,7;0,4;0,12;0,454
ALSANCAK;GONAD;SNA;Image_34956.jpg;0,22;29,47;27,94;26,62;1,12;0,2;0,2747
ALSANCAK;GONAD;SNA;Image_34956.jpg;0,28;10,56;9,04;7,71;1,12;0,2;0,332
ALSANCAK;GONAD;SNA;Image_34956.jpg;0,3;6,95;5,42;4,1;1,12;0,2;0,3606
ALSANCAK;GONAD;SNA;Image_34942.jpg;0,22;24,5;23,08;21,84;1,08;0,17;0,274
ALSANCAK;GONAD;SNA;Image_34942.jpg;0,28;8,19;6,78;5,53;1,08;0,17;0,339
ALSANCAK;GONAD;SNA;Image_34942.jpg;0,3;5,48;4,07;2,82;1,08;0,17;0,3721
ALSANCAK;GONAD;SNA;Image_34954.jpg;0,22;10,62;10,12;9,75;0,24;0,13;0,2693
ALSANCAK;GONAD;SNA;Image_34954.jpg;0,28;2,47;1,96;1,59;0,24;0,13;0,3778
ALSANCAK;GONAD;SNA;Image_34954.jpg;0,3;1,61;1,11;0,74;0,24;0,13;0,4462
ALSANCAK;GONAD;SNA;Image_34940.jpg;0,22;14,86;13,45;12,31;0,86;0,28;0,2829
ALSANCAK;GONAD;SNA;Image_34940.jpg;0,28;5,64;4,22;3,09;0,86;0,28;0,3644
ALSANCAK;GONAD;SNA;Image_34940.jpg;0,3;4,16;2,75;1,61;0,86;0,28;0,4048
ALSANCAK;GONAD;SNA;Image_34941.jpg;0,22;8,48;7,77;7,19;0,44;0,13;0,2677
ALSANCAK;GONAD;SNA;Image_34941.jpg;0,28;1,76;1,05;0,47;0,44;0,13;0,4698
ALSANCAK;GONAD;SNA;Image_34941.jpg;0,3;1,54;0,83;0,26;0,44;0,13;0,5162
ALSANCAK;GONAD;SNA;Image_34955.jpg;0,22;22,48;21,7;21,06;0,51;0,13;0,2628
ALSANCAK;GONAD;SNA;Image_34955.jpg;0,28;4,81;4,03;3,39;0,51;0,13;0,3469
ALSANCAK;GONAD;SNA;Image_34955.jpg;0,3;3,0;2,22;1,58;0,51;0,13;0,3943
ALSANCAK;GONAD;WGA;Image_34958.jpg;0,22;56,92;44,07;33,7;7,88;2,49;0,3421
ALSANCAK;GONAD;WGA;Image_34958.jpg;0,28;38,2;25,35;14,98;7,88;2,49;0,4106
ALSANCAK;GONAD;WGA;Image_34958.jpg;0,3;32,98;20,12;9,75;7,88;2,49;0,442
ALSANCAK;GONAD;WGA;Image_34970.jpg;0,22;73,39;45,53;24,43;14,34;6,76;0,369
ALSANCAK;GONAD;WGA;Image_34970.jpg;0,28;60,2;32,34;11,24;14,34;6,76;0,4181
ALSANCAK;GONAD;WGA;Image_34970.jpg;0,3;56,56;28,7;7,6;14,34;6,76;0,4343
ALSANCAK;GONAD;WGA;Image_34964.jpg;0,22;63,95;46,98;31,89;13,21;1,88;0,3278
ALSANCAK;GONAD;WGA;Image_34964.jpg;0,28;47,02;30,05;14,96;13,21;1,88;0,3721
ALSANCAK;GONAD;WGA;Image_34964.jpg;0,3;42,1;25,13;10,04;13,21;1,88;0,3882
ALSANCAK;GONAD;WGA;Image_34965.jpg;0,22;90,84;61,29;34,95;23,11;3,22;0,3466
ALSANCAK;GONAD;WGA;Image_34965.jpg;0,28;74,53;44,98;18,65;23,11;3,22;0,3818
ALSANCAK;GONAD;WGA;Image_34965.jpg;0,3;69,16;39,61;13,27;23,11;3,22;0,3943
ALSANCAK;GONAD;WGA;Image_34971.jpg;0,22;74,75;46,86;25,4;15,02;6,44;0,3666
